current_speed,speed_limit,weather_code,visibility_km,road_type,hour_of_day,violation,recommended_speed
117.3,80,3,3.4,2,5,1,60
131.6,120,2,5.1,0,13,1,110
130.8,100,4,2.2,1,8,1,85
105.5,120,3,2.7,0,9,1,100
85.8,60,0,9.9,3,17,1,60
96.0,120,4,1.2,0,14,0,105
54.8,60,1,7.7,3,3,0,60
165.5,120,3,3.4,0,4,1,100
137.8,100,4,2.9,1,22,1,85
67.4,30,0,10.9,4,20,1,30
74.3,60,0,10.1,3,5,1,60
104.5,120,0,10.2,0,14,0,120
42.8,60,1,7.4,3,19,0,60
115.5,80,3,3.4,2,1,1,60
38.8,60,4,1.1,3,15,0,45
33.7,60,0,9.6,3,4,0,60
50.8,60,1,8.3,3,22,0,60
14.7,30,1,7.6,4,3,0,30
76.1,100,0,9.1,1,0,0,100
33.4,60,0,10.7,3,7,0,60
79.3,80,0,9.6,2,20,0,80
94.8,120,5,3.1,0,9,0,95
130.6,120,0,9.1,0,14,1,120
118.7,120,1,7.5,0,1,0,120
30.7,60,2,4.4,3,18,0,50
74.3,60,1,8.5,3,11,1,60
58.7,60,5,3.6,3,9,1,35
114.0,120,5,4.6,0,11,1,95
72.5,80,0,9.3,2,20,0,80
12.4,30,1,8.0,4,19,0,30
66.6,80,0,10.4,2,8,0,80
42.7,60,0,10.3,3,7,0,60
51.2,60,0,10.2,3,1,0,60
48.3,60,2,5.8,3,20,0,50
110.8,80,1,7.5,2,23,1,80
13.3,30,0,10.0,4,23,0,30
96.9,80,0,10.8,2,6,1,80
79.1,30,4,1.2,4,3,1,20
90.5,100,0,9.1,1,18,0,100
96.5,100,0,9.5,1,7,0,100
147.9,120,1,8.3,0,23,1,120
33.7,60,5,3.5,3,12,0,35
51.7,80,0,9.4,2,20,0,80
106.8,100,2,4.9,1,2,1,90
132.0,100,3,3.2,1,4,1,80
9.9,30,0,9.5,4,19,0,30
48.3,60,2,4.6,3,7,0,50
57.6,60,1,8.2,3,1,0,60
32.3,60,2,5.9,3,23,0,50
57.8,80,2,5.3,2,9,0,70
72.9,80,1,8.6,2,21,0,80
46.1,30,0,9.7,4,15,1,30
118.8,120,4,1.5,0,3,1,105
50.9,80,0,9.9,2,13,0,80
116.1,100,0,10.6,1,2,1,100
55.8,80,0,9.9,2,9,0,80
108.2,80,1,8.7,2,12,1,80
68.5,80,2,6.0,2,4,0,70
169.8,120,0,9.1,0,21,1,120
87.2,80,1,7.1,2,16,1,80
96.4,100,0,9.3,1,16,0,100
88.6,100,2,4.8,1,10,0,90
114.7,120,0,9.3,0,18,0,120
94.2,60,2,5.7,3,17,1,50
76.6,80,1,7.0,2,16,0,80
57.5,60,5,3.6,3,10,1,35
32.7,60,0,9.4,3,14,0,60
39.3,60,0,10.9,3,7,0,60
88.3,80,0,10.3,2,11,1,80
97.3,80,4,2.8,2,16,1,65
66.9,80,4,2.9,2,23,1,65
103.4,60,0,10.0,3,4,1,60
66.3,80,2,4.5,2,3,0,70
57.6,60,3,2.4,3,23,1,40
18.8,30,1,7.4,4,23,0,30
80.2,100,1,8.4,1,10,0,100
116.2,120,0,9.1,0,7,0,120
54.3,60,0,9.1,3,15,0,60
95.4,100,4,2.2,1,15,1,85
118.4,120,4,2.3,0,2,1,105
15.5,30,2,5.3,4,11,0,20
97.0,100,0,9.7,1,23,0,100
13.1,30,0,10.6,4,12,0,30
59.0,60,2,5.1,3,0,1,50
45.6,60,4,1.2,3,3,1,45
134.9,100,4,2.6,1,20,1,85
93.2,100,3,3.9,1,5,1,80
65.8,80,2,4.1,2,4,0,70
79.3,100,0,9.8,1,4,0,100
88.3,100,0,10.0,1,20,0,100
127.2,100,4,1.3,1,9,1,85
107.4,100,2,5.7,1,18,1,90
108.9,100,0,9.6,1,17,1,100
44.9,60,0,10.6,3,1,0,60
92.0,100,2,5.3,1,15,1,90
99.3,120,0,10.2,0,14,0,120
32.9,60,0,9.4,3,23,0,60
9.7,30,1,7.4,4,4,0,30
87.0,100,2,4.1,1,20,0,90
108.4,120,2,4.5,0,21,0,110
96.8,60,0,9.7,3,8,1,60
21.4,30,2,5.7,4,22,1,20
47.0,60,0,9.7,3,4,0,60
92.9,60,0,10.5,3,4,1,60
89.4,100,2,4.9,1,8,0,90
70.6,80,2,5.6,2,8,1,70
97.2,120,4,3.0,0,1,0,105
30.1,60,2,4.5,3,6,0,50
82.5,60,1,8.7,3,0,1,60
12.3,30,0,10.2,4,19,0,30
98.6,100,1,8.6,1,1,0,100
97.9,120,0,10.3,0,11,0,120
109.2,80,0,9.8,2,5,1,80
101.1,60,5,3.5,3,19,1,35
71.6,60,1,7.1,3,18,1,60
107.9,100,4,2.1,1,15,1,85
73.9,100,2,6.0,1,3,0,90
73.7,80,3,3.5,2,17,1,60
121.2,100,1,7.7,1,4,1,100
17.4,30,1,8.7,4,21,0,30
69.8,80,1,8.5,2,17,0,80
43.6,60,0,9.6,3,5,0,60
106.4,60,2,4.0,3,13,1,50
85.3,60,0,9.2,3,19,1,60
92.6,100,0,10.8,1,16,0,100
87.1,60,2,5.7,3,17,1,50
131.2,100,0,9.6,1,20,1,100
64.7,80,5,3.6,2,9,1,55
80.0,100,5,4.6,1,22,1,75
59.4,80,4,2.9,2,23,0,65
86.3,100,1,8.6,1,18,0,100
122.7,100,0,10.2,1,17,1,100
26.0,30,4,1.5,4,3,1,20
83.9,100,1,8.1,1,19,0,100
38.1,60,5,3.5,3,14,1,35
5.0,30,5,4.6,4,5,0,20
108.5,120,4,1.8,0,5,1,105
58.4,60,0,10.7,3,2,0,60
89.9,100,1,7.8,1,8,0,100
94.9,120,4,2.6,0,10,0,105
66.3,80,0,9.7,2,4,0,80
77.3,30,0,9.9,4,13,1,30
129.6,120,1,8.2,0,1,1,120
47.8,60,5,3.1,3,21,1,35
73.0,80,2,5.9,2,18,1,70
5.0,30,1,8.1,4,7,0,30
94.1,120,0,10.0,0,12,0,120
55.3,60,2,5.7,3,18,1,50
38.2,60,5,4.7,3,4,1,35
66.5,60,0,10.0,3,14,1,60
17.2,30,1,8.9,4,3,0,30
79.4,60,4,1.1,3,3,1,45
112.5,120,2,4.2,0,17,1,110
65.4,80,2,5.2,2,23,0,70
60.4,80,2,4.7,2,18,0,70
111.4,100,1,7.9,1,19,1,100
78.6,80,0,9.7,2,21,0,80
68.0,80,3,2.8,2,8,1,60
98.5,80,3,3.6,2,14,1,60
35.5,30,4,2.2,4,11,1,20
91.3,120,4,3.0,0,3,0,105
40.0,30,1,8.6,4,2,1,30
57.8,80,1,7.5,2,4,0,80
49.2,60,3,2.5,3,16,1,40
32.1,60,2,4.7,3,4,0,50
59.8,80,2,5.7,2,3,0,70
54.9,80,3,2.1,2,20,0,60
70.0,80,4,1.5,2,6,1,65
88.5,80,0,10.8,2,6,1,80
21.2,30,1,8.3,4,6,0,30
103.9,60,0,9.5,3,16,1,60
94.9,120,1,7.4,0,14,0,120
110.6,120,0,10.7,0,6,0,120
104.7,80,1,8.8,2,14,1,80
152.1,120,1,7.5,0,19,1,120
55.8,60,0,9.8,3,3,0,60
96.0,120,1,8.7,0,1,0,120
64.2,80,0,10.5,2,21,0,80
161.5,120,0,10.6,0,12,1,120
71.4,100,3,3.0,1,11,0,80
49.3,60,1,8.8,3,9,0,60
63.8,80,0,9.7,2,18,0,80
56.3,30,1,7.3,4,14,1,30
68.2,30,3,3.4,4,16,1,20
76.7,80,0,10.1,2,20,0,80
103.9,120,2,5.7,0,5,0,110
72.2,60,0,9.2,3,4,1,60
19.3,30,0,10.7,4,20,0,30
57.9,60,1,7.6,3,12,0,60
159.4,120,1,8.3,0,13,1,120
20.8,30,2,4.1,4,23,1,20
93.7,100,2,5.2,1,13,1,90
39.1,60,5,4.4,3,14,1,35
60.0,30,1,7.7,4,15,1,30
81.4,100,0,9.4,1,9,0,100
19.0,30,3,3.1,4,0,1,20
72.6,100,0,10.7,1,23,0,100
8.2,30,1,7.6,4,10,0,30
142.5,100,0,9.5,1,6,1,100
69.1,30,0,9.6,4,16,1,30
146.9,120,5,4.9,0,3,1,95
37.2,60,4,1.7,3,6,0,45
71.5,80,2,4.0,2,2,1,70
129.8,80,1,8.6,2,23,1,80
134.9,100,0,10.4,1,19,1,100
33.1,60,0,9.3,3,13,0,60
80.9,100,0,11.0,1,17,0,100
49.6,60,1,8.2,3,17,0,60
141.2,100,2,5.0,1,23,1,90
62.4,30,2,4.8,4,23,1,20
110.0,120,0,10.8,0,0,0,120
141.0,100,5,3.5,1,5,1,75
78.2,100,2,4.6,1,8,0,90
88.4,80,1,7.2,2,1,1,80
110.1,100,2,5.5,1,7,1,90
115.9,80,1,8.2,2,23,1,80
36.7,30,0,10.2,4,19,1,30
96.4,60,1,7.4,3,3,1,60
48.9,60,3,3.3,3,20,1,40
103.4,120,0,10.5,0,9,0,120
102.7,60,0,9.7,3,22,1,60
88.0,100,0,10.6,1,0,0,100
54.4,60,0,9.7,3,10,0,60
145.9,100,4,2.5,1,8,1,85
69.5,80,2,4.1,2,18,0,70
79.2,80,1,8.1,2,10,0,80
42.0,30,0,10.9,4,3,1,30
110.6,120,1,9.0,0,22,0,120
58.8,60,1,7.6,3,4,0,60
110.5,120,0,9.9,0,20,0,120
101.8,60,1,7.1,3,16,1,60
12.9,30,1,8.7,4,17,0,30
120.6,80,2,5.1,2,4,1,70
116.2,80,2,4.8,2,17,1,70
26.5,30,0,9.2,4,16,0,30
117.6,80,1,8.9,2,2,1,80
123.2,80,2,5.1,2,10,1,70
83.1,60,1,7.6,3,16,1,60
71.6,60,4,1.7,3,7,1,45
127.2,120,2,4.5,0,23,1,110
83.4,60,0,10.2,3,7,1,60
74.0,80,0,10.9,2,22,0,80
139.3,120,2,5.7,0,22,1,110
44.7,60,0,9.9,3,1,0,60
75.8,80,1,8.7,2,6,0,80
137.6,120,5,3.8,0,20,1,95
107.5,60,1,7.5,3,19,1,60
15.6,30,1,9.0,4,23,0,30
74.3,30,2,4.6,4,20,1,20
17.1,30,1,7.6,4,5,0,30
5.0,30,1,9.0,4,19,0,30
130.4,120,5,3.3,0,17,1,95
111.2,80,1,8.5,2,6,1,80
103.0,60,5,4.9,3,17,1,35
54.9,80,4,2.0,2,11,0,65
36.1,60,0,9.0,3,6,0,60
31.6,60,0,9.8,3,6,0,60
62.1,80,0,9.2,2,0,0,80
5.0,30,0,9.8,4,9,0,30
122.6,80,0,10.6,2,9,1,80
57.0,80,2,4.9,2,11,0,70
16.0,30,0,9.9,4,2,0,30
70.1,80,0,10.1,2,2,0,80
134.4,100,4,2.2,1,12,1,85
100.9,80,0,10.7,2,12,1,80
71.8,60,3,2.6,3,5,1,40
54.8,60,0,10.6,3,2,0,60
52.5,60,0,10.1,3,14,0,60
80.5,60,2,4.6,3,8,1,50
124.5,100,2,4.6,1,20,1,90
54.2,30,4,1.7,4,5,1,20
50.2,30,2,5.2,4,5,1,20
76.9,100,3,2.5,1,7,0,80
112.1,120,0,10.8,0,10,0,120
6.4,30,0,10.1,4,18,0,30
28.9,30,3,3.8,4,15,1,20
5.0,30,3,2.1,4,8,0,20
16.8,30,5,3.7,4,22,1,20
107.4,80,1,7.0,2,10,1,80
76.1,60,1,7.5,3,15,1,60
75.9,80,3,3.7,2,5,1,60
110.8,120,0,9.1,0,16,0,120
50.3,60,5,3.9,3,15,1,35
52.9,80,4,1.2,2,19,0,65
103.5,60,1,7.8,3,20,1,60
60.0,80,3,3.7,2,17,1,60
119.3,80,3,3.2,2,0,1,60
148.4,100,0,10.5,1,17,1,100
85.2,100,4,1.7,1,7,1,85
94.9,100,1,8.9,1,21,0,100
78.5,100,3,3.4,1,9,0,80
59.1,30,0,9.8,4,1,1,30
81.6,100,4,1.9,1,8,0,85
92.6,100,1,8.8,1,23,0,100
106.7,60,0,10.2,3,3,1,60
108.3,60,4,2.4,3,10,1,45
122.3,100,0,9.8,1,9,1,100
105.6,60,0,9.4,3,13,1,60
81.1,60,5,4.4,3,6,1,35
76.2,100,5,4.2,1,18,1,75
72.6,100,1,8.0,1,5,0,100
6.9,30,2,5.2,4,15,0,20
43.2,60,1,7.4,3,18,0,60
97.5,60,0,10.6,3,18,1,60
162.3,120,0,10.9,0,12,1,120
50.4,80,2,5.8,2,11,0,70
97.6,60,3,2.6,3,21,1,40
72.0,100,3,2.8,1,14,0,80
87.7,80,3,3.6,2,7,1,60
44.4,60,0,10.2,3,3,0,60
149.4,100,1,8.1,1,19,1,100
90.6,60,0,10.9,3,7,1,60
65.1,60,1,8.1,3,22,1,60
85.6,100,1,8.0,1,20,0,100
34.8,60,4,1.1,3,15,0,45
106.2,120,1,7.1,0,15,0,120
49.0,60,0,9.0,3,1,0,60
92.3,100,0,10.8,1,21,0,100
90.4,120,3,2.8,0,16,0,100
35.1,60,2,4.9,3,22,0,50
128.0,80,0,10.7,2,4,1,80
76.9,30,0,10.2,4,4,1,30
78.0,80,2,5.2,2,11,1,70
76.4,100,0,9.6,1,6,0,100
77.2,80,3,3.7,2,4,1,60
66.0,80,2,4.3,2,3,0,70
108.2,100,0,9.1,1,16,1,100
58.7,60,0,9.4,3,5,0,60
36.9,60,5,3.5,3,13,1,35
56.3,30,1,7.6,4,8,1,30
5.0,30,1,8.3,4,3,0,30
70.1,100,3,2.4,1,10,0,80
88.7,60,5,4.4,3,19,1,35
110.0,80,5,3.2,2,20,1,55
34.5,60,3,2.3,3,15,0,40
50.4,80,1,8.0,2,15,0,80
50.2,30,0,10.8,4,15,1,30
74.0,60,3,3.7,3,5,1,40
58.0,30,1,8.9,4,14,1,30
42.3,60,1,8.3,3,2,0,60
5.0,30,4,2.4,4,8,0,20
34.9,60,0,10.3,3,0,0,60
106.6,80,1,8.2,2,10,1,80
93.9,100,0,9.3,1,21,0,100
66.7,80,1,8.1,2,5,0,80
93.9,120,0,9.8,0,23,0,120
61.0,80,0,9.9,2,4,0,80
110.9,80,0,10.0,2,17,1,80
98.3,80,2,4.3,2,20,1,70
63.6,30,2,4.7,4,11,1,20
23.4,30,1,7.1,4,6,0,30
139.8,100,5,5.0,1,1,1,75
65.2,80,1,7.2,2,6,0,80
87.5,80,0,9.5,2,8,1,80
117.9,80,4,2.8,2,23,1,65
38.5,60,0,10.0,3,19,0,60
57.4,80,5,3.3,2,7,1,55
57.5,60,0,9.8,3,8,0,60
72.4,30,5,3.2,4,9,1,20
51.6,60,0,9.4,3,11,0,60
115.9,120,4,1.1,0,1,1,105
30.3,60,1,7.9,3,9,0,60
91.4,80,5,4.6,2,2,1,55
80.7,100,0,10.2,1,0,0,100
147.5,120,1,8.2,0,16,1,120
95.9,80,5,3.4,2,21,1,55
57.8,80,1,7.7,2,0,0,80
98.0,100,2,5.7,1,4,1,90
47.0,60,2,4.2,3,13,0,50
47.4,60,1,8.7,3,5,0,60
79.6,100,2,5.0,1,8,0,90
95.0,120,1,8.7,0,21,0,120
59.8,60,4,1.6,3,13,1,45
118.7,120,0,9.7,0,3,0,120
71.2,30,0,10.5,4,0,1,30
52.7,60,5,4.6,3,5,1,35
123.1,100,4,1.5,1,6,1,85
135.5,100,1,8.9,1,20,1,100
108.0,120,2,4.2,0,5,0,110
142.3,100,0,9.1,1,23,1,100
127.5,120,0,10.2,0,0,1,120
50.5,60,1,8.4,3,7,0,60
97.6,100,1,8.9,1,11,0,100
74.4,80,1,7.8,2,10,0,80
45.6,60,0,9.1,3,1,0,60
78.3,100,5,4.2,1,1,1,75
144.7,120,5,3.6,0,23,1,95
98.9,120,2,4.9,0,1,0,110
106.3,120,1,8.0,0,7,0,120
48.7,60,0,9.1,3,20,0,60
71.6,100,3,3.0,1,23,0,80
33.5,60,2,4.9,3,6,0,50
62.6,80,0,10.4,2,15,0,80
124.9,80,4,2.3,2,23,1,65
63.9,80,3,2.4,2,21,1,60
36.1,60,5,3.4,3,8,1,35
108.9,100,2,4.5,1,15,1,90
140.3,120,2,4.4,0,1,1,110
66.7,60,1,8.3,3,2,1,60
96.8,100,5,5.0,1,1,1,75
120.4,80,4,2.3,2,21,1,65
48.8,60,0,10.2,3,18,0,60
124.0,80,0,9.8,2,16,1,80
44.4,60,1,7.6,3,19,0,60
66.1,80,3,3.8,2,20,1,60
65.8,60,5,4.9,3,11,1,35
93.0,60,0,10.0,3,10,1,60
114.2,80,1,7.6,2,19,1,80
50.0,60,1,8.5,3,21,0,60
38.6,30,5,3.3,4,18,1,20
55.4,80,4,2.5,2,5,0,65
75.3,80,4,2.6,2,9,1,65
108.0,60,1,7.2,3,13,1,60
67.6,60,1,9.0,3,0,1,60
112.1,120,0,11.0,0,14,0,120
12.8,30,0,10.9,4,5,0,30
96.4,120,4,2.0,0,12,0,105
35.1,60,3,2.5,3,23,0,40
59.7,60,5,4.2,3,13,1,35
23.4,30,5,3.8,4,12,1,20
105.9,120,1,7.4,0,23,0,120
66.1,60,3,2.8,3,15,1,40
123.6,80,5,4.3,2,0,1,55
76.0,100,4,1.1,1,13,0,85
135.6,120,0,9.7,0,12,1,120
86.3,60,1,7.0,3,22,1,60
54.9,80,0,10.5,2,9,0,80
115.7,120,5,4.3,0,9,1,95
36.9,60,2,4.1,3,3,0,50
53.5,60,0,10.9,3,13,0,60
45.8,60,2,4.0,3,11,0,50
64.5,30,2,5.2,4,21,1,20
125.8,80,1,8.6,2,5,1,80
16.1,30,0,10.6,4,14,0,30
57.3,30,2,4.1,4,4,1,20
117.1,100,1,8.8,1,9,1,100
99.4,100,3,3.8,1,8,1,80
74.1,80,1,8.1,2,9,0,80
79.3,80,4,2.0,2,23,1,65
36.7,60,1,7.1,3,11,0,60
96.8,60,1,8.1,3,21,1,60
40.9,60,4,1.8,3,3,0,45
56.4,80,1,8.5,2,3,0,80
102.3,120,0,9.8,0,12,0,120
22.7,30,0,10.4,4,13,0,30
122.4,100,3,2.2,1,11,1,80
50.2,30,2,4.3,4,12,1,20
105.1,120,2,4.3,0,19,0,110
75.8,30,0,9.1,4,12,1,30
163.3,120,0,10.1,0,22,1,120
78.5,100,0,10.6,1,21,0,100
149.5,120,1,8.2,0,1,1,120
40.0,60,1,8.1,3,20,0,60
22.2,30,1,8.4,4,18,0,30
69.5,80,1,7.7,2,8,0,80
24.4,30,4,1.7,4,9,1,20
44.5,60,0,9.6,3,16,0,60
33.9,60,1,8.4,3,9,0,60
109.3,60,3,2.3,3,19,1,40
87.9,100,1,7.0,1,12,0,100
88.2,80,2,5.2,2,19,1,70
74.8,30,4,2.9,4,0,1,20
41.2,30,5,4.2,4,1,1,20
48.4,30,0,10.6,4,16,1,30
39.6,30,4,2.3,4,12,1,20
112.0,120,1,8.0,0,16,0,120
107.5,60,0,10.4,3,12,1,60
77.5,80,1,8.6,2,16,0,80
39.9,30,5,3.4,4,18,1,20
78.1,80,1,7.7,2,13,0,80
40.4,60,0,9.4,3,19,0,60
107.0,80,2,4.9,2,9,1,70
74.9,100,0,10.8,1,1,0,100
104.5,120,0,9.7,0,13,0,120
16.5,30,0,9.7,4,16,0,30
43.4,60,0,10.7,3,4,0,60
90.9,120,0,10.0,0,21,0,120
41.9,60,0,10.1,3,17,0,60
54.1,60,2,5.7,3,2,1,50
64.4,80,0,10.0,2,15,0,80
126.4,100,0,10.4,1,18,1,100
5.0,30,4,1.2,4,17,0,20
54.8,60,1,7.4,3,19,0,60
102.7,80,2,4.8,2,4,1,70
95.4,60,0,10.0,3,7,1,60
145.0,120,0,10.9,0,5,1,120
111.8,80,0,10.9,2,14,1,80
72.3,100,0,10.7,1,2,0,100
89.5,100,0,9.6,1,8,0,100
42.2,60,0,10.9,3,10,0,60
5.0,30,0,10.4,4,19,0,30
127.6,80,0,9.8,2,23,1,80
89.9,100,1,8.4,1,22,0,100
98.8,60,0,9.0,3,13,1,60
8.1,30,1,7.3,4,22,0,30
72.7,60,1,8.7,3,8,1,60
21.0,30,2,5.3,4,9,1,20
94.7,80,0,9.7,2,14,1,80
84.2,60,3,3.0,3,17,1,40
165.2,120,2,5.8,0,20,1,110
77.7,100,0,10.3,1,18,0,100
62.0,80,4,1.8,2,6,0,65
75.0,80,4,1.2,2,18,1,65
65.8,30,0,9.6,4,4,1,30
37.6,30,0,11.0,4,20,1,30
97.9,120,3,2.9,0,17,0,100
73.8,100,2,4.9,1,0,0,90
129.4,80,0,10.0,2,11,1,80
95.3,100,0,10.8,1,5,0,100
45.0,60,1,8.2,3,12,0,60
40.9,30,1,8.4,4,16,1,30
14.1,30,2,4.8,4,8,0,20
53.5,60,1,7.1,3,20,0,60
53.2,60,1,8.9,3,0,0,60
52.7,80,2,5.9,2,11,0,70
84.7,100,0,10.9,1,23,0,100
75.6,80,0,10.9,2,0,0,80
42.7,60,2,5.6,3,3,0,50
35.4,60,4,2.4,3,6,0,45
80.8,100,1,8.7,1,19,0,100
78.4,80,1,8.2,2,4,0,80
51.1,80,0,9.3,2,22,0,80
59.4,30,1,7.8,4,19,1,30
99.5,80,1,8.9,2,4,1,80
40.7,60,0,9.7,3,6,0,60
31.9,60,0,10.7,3,16,0,60
92.0,100,1,7.2,1,11,0,100
33.7,60,0,9.7,3,14,0,60
61.2,30,0,9.7,4,2,1,30
87.9,80,0,9.1,2,16,1,80
5.5,30,0,9.2,4,13,0,30
142.7,100,0,9.4,1,14,1,100
146.4,120,4,2.7,0,14,1,105
14.0,30,1,7.1,4,14,0,30
41.5,60,2,4.6,3,18,0,50
5.0,30,3,2.0,4,10,0,20
87.0,60,1,8.4,3,17,1,60
5.0,30,0,10.2,4,20,0,30
33.4,60,1,8.3,3,9,0,60
50.5,60,1,7.7,3,20,0,60
40.0,60,2,4.4,3,8,0,50
53.7,80,1,8.4,2,23,0,80
10.9,30,0,10.6,4,2,0,30
57.9,80,0,9.3,2,0,0,80
67.4,80,1,8.0,2,20,0,80
65.1,80,2,4.5,2,10,0,70
88.5,60,1,7.3,3,15,1,60
117.5,80,1,8.5,2,2,1,80
130.0,120,5,4.1,0,20,1,95
6.8,30,2,4.4,4,8,0,20
72.8,80,0,9.6,2,10,0,80
30.9,60,0,10.9,3,16,0,60
102.6,120,0,10.7,0,0,0,120
151.5,120,0,10.8,0,8,1,120
74.6,100,0,9.9,1,2,0,100
40.5,60,0,10.2,3,9,0,60
129.1,120,0,9.8,0,4,1,120
53.7,30,0,9.2,4,10,1,30
149.7,100,4,1.8,1,4,1,85
79.2,100,0,10.2,1,11,0,100
92.1,100,1,7.6,1,13,0,100
90.1,120,1,8.7,0,11,0,120
109.3,60,5,3.3,3,18,1,35
35.5,30,0,9.7,4,8,1,30
30.1,60,1,7.2,3,6,0,60
79.1,100,5,3.8,1,15,1,75
111.6,100,4,1.1,1,6,1,85
67.6,80,3,2.5,2,13,1,60
48.2,30,0,9.8,4,7,1,30
132.2,100,0,10.0,1,20,1,100
45.1,60,2,5.1,3,17,0,50
87.6,80,4,1.5,2,2,1,65
141.3,100,1,8.0,1,1,1,100
72.4,80,1,8.0,2,4,0,80
147.3,120,0,9.6,0,7,1,120
54.3,60,3,3.7,3,18,1,40
87.4,100,0,10.1,1,21,0,100
34.2,60,0,9.7,3,8,0,60
165.7,120,1,8.9,0,1,1,120
28.9,30,1,8.7,4,14,0,30
85.2,100,0,11.0,1,7,0,100
20.3,30,0,10.4,4,9,0,30
